U+2AA19	𪨙	wz
U+2AA1A	𪨚	pz
U+2AA1B	𪨛	pz
U+2AA1C	𪨜	cs
U+2AA1D	𪨝	wx
U+2AA1E	𪨞	lz
U+2AA1F	𪨟	wp
U+2AA20	𪨠	lb
U+2AA21	𪨡	sz
U+2AA22	𪨢	sx
U+2AA23	𪨣	sq
U+2AA24	𪨤	xs
U+2AA25	𪨥	sy
U+2AA26	𪨦	sq
U+2AA27	𪨧	sl
U+2AA28	𪨨	sb
U+2AA29	𪨩	sy
U+2AA2A	𪨪	sc
U+2AA2B	𪨫	sm
U+2AA2C	𪨬	sx
U+2AA2D	𪨭	sh
U+2AA2E	𪨮	sh
U+2AA2F	𪨯	cs
U+2AA30	𪨰	sq
U+2AA31	𪨱	sz
U+2AA32	𪨲	sf
U+2AA33	𪨳	sx
U+2AA34	𪨴	sz
U+2AA35	𪨵	js
U+2AA36	𪨶	sc
U+2AA37	𪨷	sy
U+2AA38	𪨸	sc
U+2AA39	𪨹	sg
U+2AA3A	𪨺	sl
U+2AA3B	𪨻	sm
U+2AA3C	𪨼	sn
U+2AA3D	𪨽	st
U+2AA3E	𪨾	ss
U+2AA3F	𪨿	sd
U+2AA40	𪩀	sh
U+2AA41	𪩁	sz
U+2AA42	𪩂	sn
U+2AA43	𪩃	ss
U+2AA44	𪩄	sg
U+2AA45	𪩅	sh
U+2AA46	𪩆	sx
U+2AA47	𪩇	sl
U+2AA48	𪩈	sh
U+2AA49	𪩉	sf
U+2AA4A	𪩊	se
U+2AA4B	𪩋	sf
U+2AA4C	𪩌	sq
U+2AA4D	𪩍	sz
U+2AA4E	𪩎	sy
U+2AA4F	𪩏	sl
U+2AA50	𪩐	sz
U+2AA51	𪩑	sa
U+2AA52	𪩒	sy
U+2AA53	𪩓	sh
U+2AA54	𪩔	sz
U+2AA55	𪩕	sf
U+2AA56	𪩖	sc
U+2AA57	𪩗	sj
U+2AA58	𪩘	sx
U+2AA59	𪩙	sc
U+2AA5A	𪩚	sh
U+2AA5B	𪩛	sc
U+2AA5C	𪩜	sg
U+2AA5D	𪩝	sq
U+2AA5E	𪩞	sq
U+2AA5F	𪩟	sh
U+2AA60	𪩠	sl
U+2AA61	𪩡	cb
U+2AA62	𪩢	xc
U+2AA63	𪩣	dg
U+2AA64	𪩤	jl
U+2AA65	𪩥	jl
U+2AA66	𪩦	jl
U+2AA67	𪩧	tj
U+2AA68	𪩨	dj
U+2AA69	𪩩	js
U+2AA6A	𪩪	jl
U+2AA6B	𪩫	cj
U+2AA6C	𪩬	bg
U+2AA6D	𪩭	bl
U+2AA6E	𪩮	bl
U+2AA6F	𪩯	sc
U+2AA70	𪩰	lj
U+2AA71	𪩱	bl
U+2AA72	𪩲	jp
U+2AA73	𪩳	jw
U+2AA74	𪩴	jm
U+2AA75	𪩵	xs
U+2AA76	𪩶	xj
U+2AA77	𪩷	jd
U+2AA78	𪩸	jb
U+2AA79	𪩹	jb
U+2AA7A	𪩺	zj
